date	negative	neutral	positive
20110328	4	11	15
20110329	1	2	5
20110330	0	0	3
20110331	1	3	2
20110401	1	1	1
20110402	0	0	1
20110410	0	0	1
20110411	0	1	0
20110412	0	1	1
20110413	0	1	0
20110414	0	0	3
20110915	0	2	3
20110916	0	0	5
20111214	3	6	9
20111215	1	4	5
20111216	4	11	14
20111217	0	2	4
20111218	0	4	0
20111219	0	0	1
20111220	0	2	1
20111221	1	0	0
20111222	0	1	0
20111223	3	1	2
20111224	3	4	6
20111225	0	5	3
20111226	1	1	0
20111227	0	1	2
20111228	0	4	5
20111229	1	1	1
20111231	0	5	2
20120101	1	1	0
20120102	0	1	4
20120103	1	1	2
20120105	1	2	1
20120106	1	5	3
20120107	2	0	0
20120113	0	2	1
20120114	0	1	2
20120115	0	1	0
20120116	0	1	0
20120117	0	1	0
20120118	0	0	3
20120121	0	0	1
20120123	1	0	0
20120125	1	3	0
20120127	0	1	0
20120131	2	7	7
20120201	0	1	0
20120203	0	1	0
20120205	0	0	1
20120206	1	0	0
20120207	0	1	0
20120213	0	0	1
