date	negative	neutral	positive
20111223	0	5	2
20111224	0	1	1
20111227	0	0	2
20111228	0	1	0
20111230	0	0	1
20120101	0	0	1
20120102	0	1	2
20120103	0	0	1
20120104	1	0	0
20120105	0	1	1
20120106	0	0	2
20120110	0	2	0
20120111	1	4	0
20120112	0	0	1
20120113	1	0	0
20120116	0	2	2
20120117	0	1	1
20120119	0	0	1
20120121	0	1	0
20120122	0	5	1
20120127	0	1	0
20120206	0	4	0
20120207	0	0	1
20120214	0	0	4
20120216	0	0	2
20120221	0	0	1
20120310	0	0	1
20120314	0	0	1
20120315	0	1	2
20120318	0	1	0
20120319	0	1	0
20120331	0	0	1
20120402	0	0	1
20120430	0	0	1
20120507	0	3	1
20120510	2	3	1
20120514	0	0	4
20120515	0	1	0
20120518	0	1	0
20120521	0	1	0
20120615	0	1	0
20120623	0	4	1
20120629	0	2	0
20120707	0	0	1
20120718	0	1	1
20120724	1	1	0
20120802	0	1	3
20120803	0	2	2
20120804	0	1	0
20120806	0	0	2
20120807	0	1	0
20120808	0	2	4
20120809	0	2	0
20120810	0	4	7
20120811	0	3	14
20120812	0	3	2
20120813	5	19	21
20120814	0	6	4
20120815	5	12	7
20120816	11	17	31
20120817	1	9	7
20120818	0	2	2
20120819	3	3	13
20120820	1	1	2
20120904	0	1	1
20120911	0	2	1
20121008	0	1	1
20121009	1	1	2
20121010	0	0	1
20121011	0	1	0
20121021	0	10	4
20121022	1	2	5
20121023	4	8	23
20121024	1	3	3
20121025	0	0	3
20121026	0	1	1
20121027	1	1	1
20121028	0	3	2
20121031	0	0	1
20121101	0	1	1
20121102	0	0	1
20121104	0	1	0
20121105	0	1	2
20121106	0	1	3
20121107	0	2	0
20121108	5	6	14
20121109	0	2	5
20121110	1	9	6
20121111	0	1	5
20121112	0	1	1
20121113	0	3	2
20121114	1	6	3
20121115	1	0	3
20121116	0	1	1
20121118	2	3	5
20121119	0	5	4
20121120	1	4	3
20121121	2	1	3
20121122	2	5	5
20121123	1	0	1
20121124	3	4	3
20121125	1	5	9
20121126	2	1	4
20121127	1	2	1
20121128	4	7	5
20121129	1	3	6
20121130	0	2	2
20121201	0	1	3
20121202	2	4	7
20121203	0	3	3
20121204	1	7	8
20121205	0	2	0
20121207	1	1	0
20121208	1	1	7
20121209	1	2	2
20121210	2	5	2
20121211	1	3	1
20121212	1	4	6
20121213	0	1	2
20121214	0	2	0
20121215	1	3	2
20121216	2	2	4
20121217	0	2	1
20121218	0	8	11
20121219	0	1	0
20121220	2	3	4
20121221	0	1	1
20121222	0	1	0
20121223	0	0	3
20121224	0	2	0
20121225	0	0	1
20121226	2	1	7
20121227	0	2	6
20121228	3	7	5
20121229	0	0	1
20121230	1	4	1
20121231	0	3	1
20130101	0	1	1
20130102	0	2	1
20130103	0	1	0
20130105	0	3	1
20130109	0	1	0
20130110	0	3	3
20130111	0	5	2
20130112	0	1	1
20130113	1	4	1
20130114	3	11	14
20130115	1	12	10
20130116	2	6	3
20130117	3	8	4
20130118	5	12	5
20130119	1	2	4
20130120	1	8	4
20130121	3	12	11
20130122	3	10	12
20130123	10	21	14
20130124	5	14	18
20130125	1	2	3
20130126	1	17	12
20130127	2	6	7
20130128	0	12	12
20130129	4	7	5
20130130	3	4	11
20130131	0	2	4
20130201	0	0	2
20130202	1	4	4
20130203	0	5	7
20130204	5	8	6
20130205	2	3	3
20130206	0	3	7
20130207	2	1	0
20130208	0	3	1
20130209	0	2	3
20130210	0	2	0
20130211	0	4	2
20130212	2	1	2
20130213	0	2	0
20130214	0	6	1
20130215	1	14	6
20130217	0	8	7
20130218	2	13	4
20130219	0	2	1
20130220	1	7	4
20130221	0	2	0
20130222	0	0	1
20130225	0	1	0
20130226	1	2	0
20130228	0	1	0
20130314	0	2	0
20130317	2	17	2
20130318	0	11	3
20130319	0	2	1
20130320	0	2	1
20130321	0	5	0
20130322	1	1	0
20130323	0	3	2
20130324	4	6	10
20130325	0	6	5
20130326	0	0	1
20130327	0	8	1
20130328	0	3	4
20130330	0	1	1
